Title,Description,Item Category,Price,Sku,Url,Images,Colors,Brand,Retailer
Altari Sofa,"If style is the question, then the Altari sofa is the answer. Sporting clean lines and sleek track arms, the decidedly contemporary profile is enhanced with plump cushioning and a chenille-feel upholstery, so pleasing to the touch. Sure to play well with so many color schemes, this sofa in slate gray includes a pair of understated floral pattern pillows for fashionably fresh appeal.",Sofas & Couches,399.99,8721338,https://www.ashleyfurniture.com/p/altari_sofa/8721338.html?cgid=sofas-and-couches,"https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/87213-38-SET-10X8-CROP?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/87213-38-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/87213-38-35?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/8721338-Altari-DIM?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/87213-38-35-20-14-T003?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/87213-38-35-A300012-T003-AHS?$AFHS-Grid-1X$",Slate,Signature Design by Ashley®,ashleyfurniture.com
Soundcheck Dual Power Reclining Sofa with Drop Down Table,"An impressive winner in home fashion, the Soundcheck power sofa shows us the beauty of today&rsquo;s best reclining sofas. Inspired by vintage automobile interiors, the pleated upholstery in the lumbar section adds additional comfort for your lower back. This contemporary sofa is upholstered in all-over faux leather for feel-good pleasure, with contrast stitching for exceptional wear. When you want to get maximum relaxation, adjust the Easy View&trade; power adjustable headrest. This is how you bring home style and comfort.",Sofas & Couches,1199.99,3060615,https://www.ashleyfurniture.com/p/soundcheck_power_reclining_sofa/3060615.html?cgid=sofas-and-couches,"https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/30606-15-DDT-DWN-CLSD?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/30606-15-ANGLE-CLSD-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/30606-15-ANGLE-OPEN-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/30606-15-HEAD-ON-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/30606-15-SIDE-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/30606-15-BACK-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/30606-15-DDT-DETAIL?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/30606-15-DDT-DWN-OPEN?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/30606-15-OPEN?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/30606-ADJ-HDREST-DETAIL?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/30606-CUP-HLDR-DETAIL?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/30606-PWR-USB-DETAIL?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/30606-SWATCH-BODY-A-500?$AFHS-Grid-1X$",Storm,Signature Design by Ashley®,ashleyfurniture.com
Jarreau Sofa Chaise Sleeper,"Small space living is easier than ever with the Jarreau sofa chaise sleeper. The soft cushions and oversized pillow backs are sure to be a comfortable seating treat. Sporting sleek arms and friendly apartment sizing, this sleeper makes a fashionable first impression, and is quick to convert into a sleeper with the included pullout cushion. Great to accommodate guests for an overnight stay.",Sofas & Couches,599.99,1150271,https://www.ashleyfurniture.com/p/jarreau_sofa_chaise_sleeper/1150271.html?cgid=sofas-and-couches,"https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/11502-71-10x8-CROP?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/11502-71-CLSD-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/11502-71-OPEN-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/11502-71-20-T270-PILLOW?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/11502-71-20-T037-PILLOW?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/11502-CLSD-MOOD-A?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/11502-CLSD-MOOD-B?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/11502-OPEN-MOOD-A?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/11502-OPEN-MOOD-B?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/ConfirmMeasurements?$AFHS-Grid-1X$",Gray,Signature Design by Ashley®,ashleyfurniture.com
Tanavi 3-Piece Modular Sofa,"Blending a fresh, clean aesthetic with ultra-soft comfort that&rsquo;s impossible to resist, this sofa sets the scene for living the dream. Whether your look is warm and cozy modern farmhouse or cool, crisp and contemporary, this masterfully crafted modular sofa tantalizes, with feather-fiber blend reversible cushions with pillowy plushness and a linen-like fabric that&rsquo;s a breath of fresh air. Slim track arms and structural bolster pillows enhance the experience.",Sofas & Couches,1499.98,APK-29841-3P,https://www.ashleyfurniture.com/p/tanavi_3-piece_sofa/APK-29841-3P.html?cgid=sofas-and-couches,"https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/29841-64-46-65?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/29841-64-46-65-ANGLE-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/29841-64-46-65-HEAD-ON-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/29841-64-46-65-SIDE-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/29841-64-46-65-BACK-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/29841-SWATCH-BODY-A-500?$AFHS-Grid-1X$",Linen,Millennium® by Ashley,ashleyfurniture.com
Zardoni Sofa,"Feed your mid-century modern nostalgia with a contemporary twist in the Zardoni sofa. Colored in an attractive gray, it&rsquo;s upholstered in a timeless texture. Classic tufted back and tapered peg legs are a nice revival. Linear profile with two toss pillows adds plenty of fresh style, perfect for small spaces.",Sofas & Couches,649.99,1140238,https://www.ashleyfurniture.com/p/zardoni_sofa/1140238.html?cgid=sofas-and-couches,"https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/1140238-10x8-CROP?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/11402-38-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/11402-38-SET?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/11402-38-35?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/11402-38-35-17-T802?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/11402-38-35-17-T802-ALT?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/11402-38-35-T802-ALT?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/11402-38-35-60-17-T802-ALT?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/11402-38-35-T802?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/11402-38-35-60-T802?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/11402-38-35-60-T802-ALT?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/11402-38-35-60-17-T802?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/11402-SWATCH-BODY-A-500?$AFHS-Grid-1X$",Charcoal,Ashley®,ashleyfurniture.com
Dandrea Sofa,"Charming with Charles of London arms that beautifully go with the flow, the Dandrea sofa in bisque beige is richly elegant yet comfortably made for everyday living. Showcasing distressed at its best, the sofa&rsquo;s turned bun feet with patina finish are aged to perfection. Five designer toss pillows make the most of moody blues.",Sofas & Couches,999.99,9900438,https://www.ashleyfurniture.com/p/dandrea_sofa/9900438.html?cgid=sofas-and-couches,"https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/99004-38-SET-10X8-CROP?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/99004-38-ANGLE-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/99004-38-HEAD-ON-SW?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/9900438-Dandrea-DIM?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/99004-38-BACK-SW?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/99004-38-35-SW?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/99004-38-35-T743?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/99004-38-35-23-14-T743?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/99004-38-35?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/99004-38-23-T743?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/99004-38-SET?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/99004-DETAIL-A?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/99004-DETAIL-B?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/99004-DETAIL-C?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/99004-SWATCH-ACCENT-A-500?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/99004-SWATCH-ACCENT-B-500?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/99004-SWATCH-ACCENT-C-500?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/99004-SWATCH-BODY-A-500?$AFHS-Grid-1X$",Bisque,Ashley®,ashleyfurniture.com
Mitchiner Manual Reclining Loveseat with Console,"Bring your snacks and beverages and plan for a night with your feet up. This double reclining loveseat is plush in all the right places, and will support you longer than you can binge watch your favorite TV show. The neutral upholstery is ready for a patterned throw blanket and some of your time. Hide the remote in the console and claim your spot on the Mitchiner.",Loveseat Sofas,1199.99,7620494,https://www.ashleyfurniture.com/p/mitchiner_reclining_loveseat_with_console/7620494.html?cgid=loveseats,"https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/76204-94-SET?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/76204-94-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/76204-94-OPEN-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/76204-94-SET-ALT?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/76204-94-DETAIL?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/76204-89-94-25-T892-PILLOW?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/76204-MOOD-A?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/76204-MOOD-B?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/76204-MOOD-D?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/76204-MOOD-E?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/76204-MOOD-G?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/7620494-Mitchiner-DIM?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/76204-SWATCH-BODY-A?$AFHS-Grid-1X$",Fog,Signature Design by Ashley®,ashleyfurniture.com
Brebryan Loveseat,"The Brebryan loveseat speaks to those drawn to fresh, contemporary style with richly neutral appeal. Wrapped in a wonderfully plush fabric loaded with multi-tonal interest, the on-trend piece has a warm, welcoming charm. Coordinating accent pillows add to the indulgence. Kick back, relax and settle in for comfort with this cool addition for modern spaces.",Loveseat Sofas,829.99,3440135,https://www.ashleyfurniture.com/p/brebryan_loveseat/3440135.html?cgid=loveseats,"https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/34401-35?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/34401-35-ANGLE-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/34401-35-HEAD-ON-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/34401-35-SIDE-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/34401-35-BACK-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/34401-SWATCH-BODY-A-500?$AFHS-Grid-1X$",Flannel,Signature Design by Ashley®,ashleyfurniture.com
Atwater Living Elvia Futon,"The right seating makes a big difference in your daily life, so why not choose something that combines style, functionality and comfort in one piece. This futon's low armless profile, tufted detail and polished chrome-tone legs will set the mood for kicking back in cool mid-century style. For your comfort preference, the split back design allows you to adjust the backrest into a lounger or a sleeper (solo or together) with a single push or pull. Whether you're having friends over for coffee, hosting a movie night or planning a sleepover, this compact yet comfortable futon will let the good times roll.",Sleeper Sofas,294.99,U600000568,https://www.ashleyfurniture.com/p/dorel_atwater_living_elvia_green_velvet_futon/U600000568.html?cgid=sleeper-sofas,"https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/U600000568_1?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/U600000568_2?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/U600000568_4?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/U600000568_5?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/U600000568_6?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/U600000568_7?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/U600000568_8?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/U600000568_9?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/U600000568_10?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/U600000568_11?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/U600000568_12?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/U600000568_13?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/U600000568_3?$AFHS-Grid-1X$",Green,Atwater Living,ashleyfurniture.com
Grixdale Manual Reclining Loveseat,"The Grixdale reclining loveseat looks good and feels good, thanks to its timelessly modern design and ample cushioning. Beautiful brown leather match upholstery is an upscale addition to your family space.",Loveseat Sofas,499.99,U6550486,https://www.ashleyfurniture.com/p/grixdale_reclining_loveseat/U6550486.html?cgid=loveseats,"https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/U65504-86-ANGLE-CLSD-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/U65504-86-ANGLE-OPEN-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/U65504-86-HEAD-ON-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/U65504-86-SIDE-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/U65504-86-BACK-SW-P1-KO?$AFHS-Grid-1X$",Brown,Signature Design by Ashley®,ashleyfurniture.com
