Title,Description,Item Categories,Price,Sku,URL,Image URLs,Colors,Brand,width,height,depth,Retailer
Paulestein Power Reclining Sofa,"Room for two, comfort for days. The Paulestein reclining power sofa does the work for you as you sit back, relax and kick up your feet. It features a timeless two-over-two cushion design, wide track arms and irresistibly soft velvety blue upholstery. Contrast stitching and tufted details offer a modern look that is always in style. Geometric accent pillows add a splash of color.",Sofas & Couches,"1,199.99",1550447,https://www.ashleyfurniture.com/p/paulestein_power_reclining_sofa/1550447.html?cgid=sofas-and-couches,"https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/15504-47?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/15504-47-ANGLE-CLSD-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/15504-47-ANGLE-OPEN-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/15504-47-HEAD-ON-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/15504-47-SIDE-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/15504-47-BACK-SW-P1-KO?$AFHS-Grid-1X$",Denim,Ashley furniture,81,40,41,ashleyfurniture.com
Corvara Sofa,"The sumptuously soft Corvara sofa invites you to slip into something more comfortable—and contemporary. Elements include sloped setback armrests that go with the flow, reversible cushions and velvet dark gray upholstery that feels every bit as wonderful as it looks. Patterned toss pillows “neutralize” in a high-design way.",Sofas & Couches,949.99,9650238,https://www.ashleyfurniture.com/p/corvara_sofa/9650238.html?cgid=sofas-and-couches,"https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/9650238-10X8-CROP?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/96502-38-ANGLE-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/96502-38-BACK-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/9650238-Corvara-DIM?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/96502-38-HEAD-ON-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/96502-38-35-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/96502-38-SET?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/96502-38-23-T880?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/96502-38-35?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/96502-38-35-T880?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/96502-SWATCH-BODY-A-500?$AFHS-Grid-1X$",Ink,Ashley furniture,94,38,44,ashleyfurniture.com
Bayonne Sofa,"Dressed to impress with distinctive cutaway arms, the Bayonne sofa is an above-and-beyond choice for your fashionable abode. Wrapped in a soft flatwoven charcoal fabric that’s naturally on trend, this designer sofa is sure to suit contemporary spaces and modern farmhouse places—and look right at home with classic and eclectic furnishings. That’s the beauty of a great transitional piece of furniture. That’s the beauty of the Bayonne sofa.",Sofas & Couches,549.99,3780138,https://www.ashleyfurniture.com/p/bayonne_sofa/3780138.html?cgid=sofas-and-couches,"https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/37801-38-SET-10X8-CROP?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/37801-38-ANGLE-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/37801-38-SET?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/37801-38-HEAD-ON-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/37801-38-SIDE-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/37801-38-BACK-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/37801-38-35-T968?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/37801-SWATCH-BODY-A-500?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/37801-SWATCH-ACCENT-A-500?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/37801-SWATCH-ACCENT-B-500?$AFHS-Grid-1X$",Charcoal,Ashley furniture,83,39,40,ashleyfurniture.com
Gleston Sofa,"Raise your standard of living with the Gleston sofa in onyx black. Reserved exclusively for those with a penchant for high-glam home decor, this ultra-chic sofa is dressed to impress with a clean-lined profile, 2-over-2 cushion styling and sleek track arms punctuated with nailhead trim. Easy on the eyes and alluring to the touch, this decidedly contemporary sofa is covered in a low-pile soft velvet that’s impossible to resist. Abstract-patterned throw pillows enhance the posh appeal.",Sofas & Couches,549.99,1220638,https://www.ashleyfurniture.com/p/gleston_sofa/1220638.html?cgid=sofas-and-couches,"https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/1220638-10X8-CROP?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/12206-38-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/12206-SWATCH-BODY-A-500?$AFHS-Grid-1X$",Onyx,Ashley furniture,84,37,38,ashleyfurniture.com
Composer Dual Power Recliner,"Movie nights will be forever changed with the Composer power recliner. The adjustable Easy View™ headrest allows a primo view of the TV no matter how far back you recline and the extended ottoman provides extra room to really stretch out. Ultra-cool lattice stitching elevates the look and ambient LED lighting completes the theater-style experience. So relax, kick off your shoes and enjoy the show.",Reclining Furniture,849.99,2150613,https://www.ashleyfurniture.com/p/composer_power_recliner/2150613.html?cgid=reclining-furniture,"https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/21506-13-T217-811-OPEN?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/21506-13-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/2150613-10x8-CROP?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/AHS_Composer_2150613_PwrRecliner-AdjHeadrest_P2?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/21506-13-OPEN-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/21506-13-HEAD-ON-SW-QL-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/21506-13-SIDE-OPEN-SW-QL-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/21506-13-BACK-SW-QL-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/21506-13-SIDE-LIGHT-SW-QL-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/21506-13-DETAIL-A?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/21506-13-DETAIL-B?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/21506-13-DETAIL-C?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/21506-13-HDREST?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/21506-13-DETAIL-A-QL?$AFHS-Grid-1X$",Gray,Ashley furniture,35,41,39,ashleyfurniture.com
Woodsway Manual Reclining Loveseat,"Twice the style, twice the comfort. Lounge in the casual luxury of the two-tone Woodsway reclining loveseat. Pillow top armrests and a modernized bustle back pamper with the plushness you crave, while the pull tab reclining motion leaves you relaxed and rested.",Reclining Furniture,499.99,6450486,https://www.ashleyfurniture.com/p/woodsway_reclining_loveseat/6450486.html?cgid=reclining-furniture,"https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/64504-86-ANGLE-CLSD-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/64504-86-ANGLE-OPEN-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/64504-86-HEAD-ON-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/64504-86-SIDE-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/64504-86-BACK-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/64504-ARM-SEAT-DETAIL-SW?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/64504-RECLINER-RELEASE?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/64504-BODY-SWATCH-500?$AFHS-Grid-1X$",Gray,Ashley furniture,61.5,40.5,38,ashleyfurniture.com
Bralynn Sofa,"Timeless design for the here and now. The Bralynn sofa pays homage to traditional styling, concluding in softly curved Charles of London arms. Its crisp, clean character radiates charm. An alchemy of old and new aesthetics, this sofa smartly appeals to your love of classic motifs with a modern sensibility.",Sofas & Couches,749.99,3510338,https://www.ashleyfurniture.com/p/bralynn_sofa/3510338.html?cgid=sofas-and-couches,"https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/35103-38?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/35103-38-ANGLE-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/35103-38-HEAD-ON-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/35103-38-SIDE-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/35103-38-BACK-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/35103-SWATCH-BODY-A-500?$AFHS-Grid-1X$",Linen,Ashley furniture,91,40,41,ashleyfurniture.com
Belcampo Ottoman,"The sumptuously comfortable Belcampo ottoman makes it easy to camp out in style. Inspired by quality menswear, its linen-weave upholstery naturally works in a rich jute tone. Thickly cushioned top is supportive and indulgent.",Ottomans,379.99,1340514,https://www.ashleyfurniture.com/p/belcampo_ottoman/1340514.html?cgid=ottomans,"https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/13405-14?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/13405-14-SW?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/13405-23-14?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/1340514-Belcampo-DIM?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/13405-SWATCH-BODY-A-500?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/13405-MOOD-B?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/13405-MOOD-A?$AFHS-Grid-1X$",Jute,Ashley furniture,40,19,24,ashleyfurniture.com
Accrington Oversized Ottoman,"Looking for the perfect blend of decadent comfort and contemporary flair? Feast your eyes on the Accrington ottoman. Its oversized square profile definitely takes center stage. Wonderfully plush to the touch, the ottoman’s earthy brown fabric is the ultimate choice for a richly neutral look.",Ottomans,419.99,7050808,https://www.ashleyfurniture.com/p/accrington_oversized_ottoman/7050808.html?cgid=ottomans,"https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/7050808-10x8-CROP?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/70508-08-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/70508-66-17-08-T027?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/7050808-Accrington-DIM?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/70508-SWATCH-BODY-A?$AFHS-Grid-1X$",Earth,Ashley furniture,37,19,37,ashleyfurniture.com
Linon Owens Cocktail Table,"Mixing metal with wood, the transitional Franklin Cocktail Table provides a unique addition to your home. The round table features an umber brown oak woodgrain veneer with nailheads along the apron. The sturdy metal base is made of curved legs and includes a small circular shelf. Some assembly required.",Coffee Tables,219.99,T600000267,https://www.ashleyfurniture.com/p/linon_owens_cocktail_table/T600000267.html?cgid=coffee-tables,"https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/T600000267_1?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/T600000267_2?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/T600000267_4?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/T600000267_5?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/T600000267_6?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/T600000267_7?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/T600000267_8?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/T600000267_9?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/T600000267_10?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/T600000267_3?$AFHS-Grid-1X$",Umber Brown,Ashley furniture,36,19,36,ashleyfurniture.com
Camiburg Coffee Table,"Raise the bar on modern farmhouse design with the Camiburg storage coffee table. Sporting a rough-sawn wood grain effect and cross buck accents, the table's unique sliding ""barn door"" moves to reveal shelved storage space. Easy roll casters add a cool touch that's right on trend.",Coffee Tables,249.99,T283-1,https://www.ashleyfurniture.com/p/camiburg_coffee_table/T283-1.html?cgid=coffee-tables,"https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/T283-1?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/T283-1-ANGLE-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/T283-1-HEAD-ON-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/T283-1-DETAIL-A-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/T283-1-ANGLE-ALT-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/T283-1-SIDE-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/T283-1-BACK-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/T283-1-SIDE-ALT-SW-P1-KO?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/T283-1-DETAIL-B-SW?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/T283-1-Camiburg-DIM?$AFHS-Grid-1X$,https://ashleyfurniture.scene7.com/is/image/AshleyFurniture/T283-FINISH-500?$AFHS-Grid-1X$",Warm Brown,Ashley furniture,42,19,23.63,ashleyfurniture.com
